timestamp,open,high,low,close,volume
2021-01-01T00:00:00Z,30000.0,30003.75,29958.75,30055.77,83.482
2021-01-01T01:00:00Z,30055.77,30157.28,29921.94,30150.36,63.041
2021-01-01T02:00:00Z,30150.36,30154.83,30117.56,30119.13,125.803
2021-01-01T03:00:00Z,30119.13,30148.95,30021.65,29929.74,131.741
2021-01-01T04:00:00Z,29929.74,30018.13,29808.33,29817.92,50.975
2021-01-01T05:00:00Z,29817.92,29922.64,29766.88,29940.25,73.322
2021-01-01T06:00:00Z,29940.25,29990.74,29926.33,30123.13,64.507
2021-01-01T07:00:00Z,30123.13,30213.69,30002.06,30262.13,159.46
2021-01-01T08:00:00Z,30262.13,30408.1,30205.35,30276.62,132.806
2021-01-01T09:00:00Z,30276.62,30369.4,30147.36,30408.38,136.603
2021-01-01T10:00:00Z,30408.38,30415.26,30374.2,30490.21,93.408
2021-01-01T11:00:00Z,30490.21,30525.13,30475.06,30322.13,91.696
2021-01-01T12:00:00Z,30322.13,30376.85,30266.6,30376.4,81.426
2021-01-01T13:00:00Z,30376.4,30516.9,30279.2,30283.19,141.37
2021-01-01T14:00:00Z,30283.19,30392.56,30258.68,30151.65,106.918
2021-01-01T15:00:00Z,30151.65,30247.65,30068.11,30347.46,152.692
2021-01-01T16:00:00Z,30347.46,30463.86,30313.1,30484.6,54.815
2021-01-01T17:00:00Z,30484.6,30524.76,30452.95,30410.78,191.436
2021-01-01T18:00:00Z,30410.78,30457.98,30312.46,30561.33,109.345
2021-01-01T19:00:00Z,30561.33,30630.15,30521.59,30727.15,86.994
2021-01-01T20:00:00Z,30727.15,30766.56,30639.46,30751.69,184.673
2021-01-01T21:00:00Z,30751.69,30784.59,30602.06,30711.45,126.429
2021-01-01T22:00:00Z,30711.45,30718.52,30695.01,30547.82,144.117
2021-01-01T23:00:00Z,30547.82,30611.14,30538.29,30664.65,107.243
2021-01-02T00:00:00Z,30664.65,30744.02,30518.99,30863.1,179.117
2021-01-02T01:00:00Z,30863.1,30971.21,30760.84,30667.69,130.546
2021-01-02T02:00:00Z,30667.69,30763.83,30650.96,30574.42,115.215
2021-01-02T03:00:00Z,30574.42,30717.49,30443.04,30555.91,89.508
2021-01-02T04:00:00Z,30555.91,30582.71,30419.01,30556.14,180.578
2021-01-02T05:00:00Z,30556.14,30651.99,30464.8,30475.52,72.926
2021-01-02T06:00:00Z,30475.52,30556.43,30358.73,30580.53,129.553
2021-01-02T07:00:00Z,30580.53,30629.15,30577.6,30380.75,189.365
2021-01-02T08:00:00Z,30380.75,30505.5,30334.63,30532.24,58.689
2021-01-02T09:00:00Z,30532.24,30674.29,30519.4,30683.45,122.899
2021-01-02T10:00:00Z,30683.45,30797.54,30568.57,30511.13,69.259
2021-01-02T11:00:00Z,30511.13,30593.6,30471.37,30501.25,180.865
2021-01-02T12:00:00Z,30501.25,30533.01,30420.35,30470.5,159.49
2021-01-02T13:00:00Z,30470.5,30517.26,30321.23,30350.96,147.482
2021-01-02T14:00:00Z,30350.96,30428.6,30332.81,30326.2,83.705
2021-01-02T15:00:00Z,30326.2,30414.45,30291.68,30261.43,83.033
2021-01-02T16:00:00Z,30261.43,30356.1,30227.09,30089.83,185.813
2021-01-02T17:00:00Z,30089.83,30100.46,30054.13,30233.69,150.347
2021-01-02T18:00:00Z,30233.69,30253.53,30093.36,30119.38,135.656
2021-01-02T19:00:00Z,30119.38,30237.07,29998.26,30108.45,78.561
2021-01-02T20:00:00Z,30108.45,30173.11,30044.91,29947.22,120.054
2021-01-02T21:00:00Z,29947.22,30048.23,29799.6,30038.85,64.763
2021-01-02T22:00:00Z,30038.85,30089.75,29909.6,29999.9,87.298
2021-01-02T23:00:00Z,29999.9,30067.19,29936.62,29875.98,91.782
2021-01-03T00:00:00Z,29875.98,30014.47,29809.51,29775.91,179.202
2021-01-03T01:00:00Z,29775.91,29783.5,29626.01,29796.04,175.404
